date,Mkt-RF,SMB,HML,RMW,CMA,MOM,STR,BAB,QMJ,RF
197601,12.16,6.34,8.58,-1.88,2.36,4.46,2.82,2.54,-3.53,0.47
197602,0.32,7.97,5.78,-2.66,3.84,0.36,-2.46,0.66,-3.35,0.34
197603,2.33,-1.33,-0.04,-0.47,1.09,0.19,4.31,-0.45,0.31,0.4
197604,-1.49,0.14,-0.06,0.41,-1.1,0.5,2.09,2.5,-0.53,0.42
197605,-1.34,-1.12,-1.32,2.52,-1.42,-1.1,-0.82,0.21,1.49,0.37
197606,4.05,-1.13,0.68,-0.53,0.93,-0.42,0.66,-1.34,-1.39,0.43
197607,-1.07,0.62,1.74,-1.12,0.29,-0.12,1.66,1.87,0.02,0.47
197608,-0.56,-2.03,0.79,-0.44,-0.59,-0.85,-1.97,1.38,0.14,0.42
197609,2.06,0.13,-0.29,0.99,-1.14,0.24,-0.56,1.72,0.57,0.44
197610,-2.42,0.15,-0.13,-0.22,-0.31,-0.48,1.18,1.12,0.15,0.41
197611,0.36,2.67,1.51,-1.2,0.08,2.9,0.59,0.45,-2.03,0.4
197612,5.65,3.62,2.22,-0.44,2.23,0.77,3.94,3.17,-0.64,0.4
197701,-4.05,5.9,4.26,-0.45,1.93,3.98,0.57,4.07,-1.93,0.36
197702,-1.95,1.11,0.5,-0.16,-0.19,0.38,1.34,2.49,1.64,0.35
197703,-1.37,1.29,1.02,-0.38,-0.09,0.48,0.95,1.23,-0.77,0.38
197704,0.15,0.59,3.45,-2,1.16,4.24,-1.21,1.06,-1.67,0.38
197705,-1.46,1.28,0.84,0.39,0.11,2.03,-0.31,1.04,-0.34,0.37
197706,4.71,2.08,-0.64,0.95,-1.22,1.78,0.07,-0.22,-0.46,0.4
197707,-1.69,1.8,-0.6,0.59,0.01,0.31,1.05,2.86,1.12,0.42
197708,-1.75,0.9,-2.8,1.08,-0.61,-1.77,-0.67,0.34,2.68,0.44
197709,-0.27,1.54,-0.48,1.13,-0.84,2.05,0.87,0.41,0.46,0.43
197710,-4.38,1.5,1.71,-0.26,-0.45,-0.12,1.75,0.18,1.2,0.49
197711,4,3.61,0.32,-0.14,0.66,2.2,2.11,0.28,-0.33,0.5
197712,0.27,1.61,-0.35,1.03,-0.65,1.56,-0.16,2.37,0.34,0.49
197801,-6.01,2.68,3.32,-1.72,1.53,-0.72,1.12,0.23,-1.42,0.49
197802,-1.38,3.65,0.78,0.2,1.04,1.9,1.25,1.49,-0.04,0.46
197803,2.85,3.73,1.23,-0.46,1.89,1.37,-0.31,1.63,-1.83,0.53
197804,7.88,-0.31,-3.55,2.65,-1.35,0.85,0.19,3.21,2.56,0.54
197805,1.76,4.59,-0.62,0.44,0.36,2.85,0.01,2.21,0.56,0.51
197806,-1.69,1.59,0.58,-1.4,-0.02,2.78,1.37,2.1,-0.32,0.54
197807,5.11,0.15,-1.12,1.52,-0.78,4.23,0.92,0.37,1.15,0.56
197808,3.75,4.95,-0.46,1.52,0.42,2.82,0.93,4.65,0.2,0.56
197809,-1.43,-0.29,1.87,-0.76,1.8,-3.11,3.69,2.39,-0.74,0.62
197810,-11.91,-10.07,1.36,0.13,1.03,-8.38,-1.77,-3.75,4.03,0.68
197811,2.71,2.85,-2.22,1.21,-1.21,5.53,9.16,-4.21,-0.71,0.7
197812,0.88,1.09,-2.19,2.01,-1.38,3.04,-0.34,0.22,2.33,0.78
197901,4.23,3.86,2.25,-2.48,1.56,-1.27,5.49,3.34,-3.26,0.77
197902,-3.56,0.54,1.18,-1.15,1.02,-1.05,1.28,1.04,-0.55,0.73
197903,5.68,3.17,-0.67,0.68,0.29,2.89,1.41,-1.35,-1.73,0.81
197904,-0.06,2.39,1.07,1.18,0.23,0.8,-0.36,1.13,0.67,0.8
197905,-2.21,0.47,1.93,-0.87,-0.82,-0.21,0.84,-0.12,-1.34,0.82
197906,3.85,0.99,1.47,-1.7,-0.45,0.83,1.2,1.65,-2.47,0.81
197907,0.82,1.24,1.7,-0.18,0.59,-1.09,0.61,1.6,0.39,0.77
197908,5.53,1.94,-1.55,1.5,-1.45,-0.25,0.8,1.96,0.97,0.77
197909,-0.82,-0.29,-0.87,0.84,0.55,5.32,-1.57,0.39,0.43,0.83
197910,-8.1,-3.47,-1.86,1.02,0.24,2.15,-1.94,-4.7,2.4,0.87
197911,5.21,2.43,-3.25,0.18,-1.99,7.96,1.36,-1.6,-2.59,0.99
197912,1.79,4.34,-1.98,-0.6,-1.01,4.77,-1.92,0.84,-1.48,0.95
198001,5.51,1.88,1.8,-1.84,2,7.5,-3.39,2.63,-3.34,0.8
198002,-1.22,-1.62,0.62,-1.05,3.03,7.88,-4.97,-1.53,-1.86,0.89
198003,-12.9,-6.94,-1.06,1.75,-1.34,-9.58,8.38,-4.71,5.61,1.21
198004,3.97,0.99,1.06,-2.01,0.54,-0.42,1.38,2.09,-3.09,1.26
198005,5.26,2.12,0.39,0.41,-0.48,-1.12,2.87,3.65,0.51,0.81
198006,3.06,1.48,-0.89,-0.09,-0.94,1.59,2.18,3.69,-1.01,0.61
198007,6.49,3.95,-6.3,3.94,-2.46,0.37,2.91,-0.94,3.34,0.53
198008,1.8,4.26,-2.64,2.06,-0.8,3.2,-0.99,1.52,-0.67,0.64
198009,2.19,0.58,-4.79,1.87,-2.82,5.43,-1.44,1.29,1.74,0.75
198010,1.06,2.35,-2.74,1.41,-1.21,7.33,-1.99,-0.22,0.42,0.95
198011,9.59,-3.4,-8.35,4.21,-5.74,15.24,-9.84,-6.26,1.75,0.96
198012,-4.52,-0.32,2.68,-1.17,1.19,-6.65,6.39,0.92,1,1.31
198101,-5.04,3.37,6.84,-3.44,4.35,-7.94,-2.26,4.71,-0.58,1.04
198102,0.56,-0.48,0.97,0.13,2.26,-1.39,-2.22,1.96,1.58,1.07
198103,3.56,3.07,0.67,-2.16,-0.53,0.74,1.62,3.67,-0.6,1.21
198104,-2.1,4.6,2.26,0.92,1.21,-0.96,-1.53,5.67,0.96,1.08
198105,0.11,2.45,-0.43,0.31,-1.6,3.75,-3.7,-0.36,-1.67,1.15
198106,-2.36,-0.97,5.13,-1.41,2.68,-5.91,4.75,5.44,0.91,1.35
198107,-1.54,-1.99,-0.65,1.06,-3.04,-2.52,-0.59,-1.34,0.68,1.24
198108,-7.03,-1.82,4.83,-0.21,1.46,-1.12,-0.66,2,0.95,1.28
198109,-7.17,-2.51,5.19,-0.07,2.79,1.98,-1.15,-1.62,1.19,1.24
198110,4.92,2.25,-4.22,3.35,-2.76,4.07,4.67,-1.94,0.93,1.21
198111,3.36,-1.37,1.9,0.16,0.63,-0.26,2.6,4.37,1.01,1.07
198112,-3.65,1.19,0.74,0.3,2.41,1.32,1.62,2.21,2.15,0.87
198201,-3.24,-1.19,3.14,-1.61,2.08,1.73,-1.22,0.02,0.25,0.8
198202,-5.86,0.35,6.08,-3.44,4.57,5,-4.32,3.02,0.08,0.92
198203,-1.87,-0.01,3.78,-1.47,2.37,2.93,-1.86,1.64,-0.45,0.98
198204,3.27,1.17,-2.8,1.62,-0.15,-0.41,1.66,2.14,1.56,1.13
198205,-3.99,0.55,1.82,0.76,-0.09,2.56,1.93,2.48,1.31,1.06
