date,isu,acr,ivol1m
07-01-1974,-0.036527079,0.054166184,-0.082239116
08-01-1974,-0.010471234,-0.007788485,0.027553299
09-01-1974,-0.064008962,0.028503225,0.012793786
10-01-1974,0.140003849,0.018602448,-0.030040118
11-01-1974,0.009486007,0.016965628,0.01874053
12-01-1974,-0.024448401,0.00036473,0.085010413
01-01-1975,-0.047526664,0.036060881,-0.217240518
02-01-1975,0.0579332,-0.022372781,-0.029149237
03-01-1975,0.027457949,0.036473077,-0.055082976
04-01-1975,0.028665116,0.002121881,0.030608422
05-01-1975,0.018831293,0.001987343,-0.033278642
06-01-1975,0.002887647,0.013732925,-0.003671064
07-01-1975,-0.038448314,0.009398414,-0.005713561
08-01-1975,-0.011716001,-0.010494339,0.045411011
09-01-1975,-0.012065855,0.016639088,0.039048249
10-01-1975,0.001544539,-0.012197223,0.068945974
11-01-1975,-0.00139632,-0.002866961,0.009258922
12-01-1975,-0.000286265,0.014742077,-0.030447371
01-01-1976,-0.015668981,-0.000196467,-0.081149356
02-01-1976,-0.015256873,0.039173642,-0.114949487
03-01-1976,-0.009083309,-0.012480334,0.029505043
04-01-1976,-0.012627598,0.013475494,0.027003787
05-01-1976,0.004582192,-0.017894601,0.027182917
06-01-1976,0.014202746,0.006363203,0.027765772
07-01-1976,-0.00476304,0.009948705,0.049138156
08-01-1976,-0.001030838,-0.001420777,0.073734318
09-01-1976,0.000941777,0.0147708,0.003044806
10-01-1976,-0.006727937,-0.00522211,-0.005287681
11-01-1976,0.002594339,0.006674343,-0.05348999
12-01-1976,-0.026951264,-0.000325137,-0.032552676
01-01-1977,-0.034473949,0.022521766,-0.036808399
02-01-1977,-0.000889006,-0.009447845,-9.47E-05
03-01-1977,0.013889442,-0.000179196,-0.007916885
04-01-1977,0.013978036,0.015918257,-0.006009206
05-01-1977,0.003516643,-0.000991072,-0.005595191
06-01-1977,0.016061701,0.00530018,-0.036937703
07-01-1977,-0.002912802,0.008126612,0.001571751
08-01-1977,0.01008858,0.006248449,-6.66E-05
09-01-1977,0.003343781,0.004732658,0.004674757
10-01-1977,0.003214934,0.005314779,0.011564678
11-01-1977,0.022887861,-0.000831595,-0.03741197
12-01-1977,0.005383456,0.012308637,-0.001153522
01-01-1978,-0.011210414,0.000390935,-0.06212514
02-01-1978,0.00335677,0.010764801,-0.014262099
03-01-1978,0.009455865,-0.02196777,-0.045161751
04-01-1978,-0.003393414,-0.007344525,0.017131355
05-01-1978,0.023086741,0.001392319,-0.072631927
06-01-1978,0.033076698,0.007505685,-0.01377471
07-01-1978,0.003470436,0.001463952,0.003835455
08-01-1978,0.011673758,-9.84E-05,-0.058548551
09-01-1978,-0.018556825,-0.013697483,0.017380415
10-01-1978,-0.018093872,-0.024443566,0.190454257
11-01-1978,0.013185404,0.010380661,-0.04639815
12-01-1978,0.015016779,0.012786855,0.021988503
01-01-1979,-0.006810383,0.009084384,-0.052631215
02-01-1979,0.000898098,-0.000302885,-0.006169122
03-01-1979,0.013443988,0.013514429,-0.06622653
04-01-1979,-0.00435626,-0.002152493,-0.039015563
05-01-1979,0.01144037,0.006067311,0.016851516
06-01-1979,0.028445055,-0.012219289,-0.030204285
07-01-1979,0.032104162,0.000439945,0.009701518
08-01-1979,0.002485528,-0.001368827,-0.002403158
09-01-1979,-0.008456505,0.022651856,-0.031162655
10-01-1979,0.00597674,0.006931613,0.056109904
11-01-1979,0.038518635,0.003688716,-0.037661816
12-01-1979,0.017189215,0.0049527,-0.054363029
01-01-1980,0.02912173,0.033525559,-0.081294706
02-01-1980,-0.041084837,0.048682285,-0.067757197
03-01-1980,-0.000885234,-0.032591381,0.158872758
04-01-1980,0.0255787,0.019695651,-0.020123156
05-01-1980,-0.014992015,-0.016504676,-0.040186356
06-01-1980,0.019853488,-0.007194278,0.004106745
07-01-1980,0.02575288,-0.051179385,-0.012126498
08-01-1980,-0.003848509,0.029845436,-0.040666514
09-01-1980,0.041022902,0.050747679,0.01044888
10-01-1980,0.008712156,0.003421597,-0.016308849
11-01-1980,0.03361637,-0.038642083,-0.049553648
12-01-1980,0.005453868,0.024656157,0.074282499
01-01-1981,-0.030283906,0.021017226,0.08208874
02-01-1981,-0.005941426,-0.00250356,0.015941504
03-01-1981,0.020311267,0.028977619,-0.015821816
04-01-1981,-0.014617236,0.045877217,0.004067115
05-01-1981,0.013752338,0.017615688,-0.029275469
06-01-1981,-0.038357914,0.020912535,0.017472287
07-01-1981,0.02139258,0.005042572,-0.029285989
08-01-1981,-0.017995628,-0.011374621,0.054402563
09-01-1981,-0.039264233,0.004571623,0.114762142
10-01-1981,0.083289026,0.01895079,-0.036578136
11-01-1981,-0.009628009,-0.004118802,-0.003221611
12-01-1981,-0.019300542,-0.008274062,0.043874795
01-01-1982,-0.025481278,-0.024930572,0.071718281
02-01-1982,-0.027213468,0.022167851,0.057356508
03-01-1982,-0.026927305,0.035255631,0.048646869
04-01-1982,0.01393321,0.001375782,0.015090121
05-01-1982,-0.027381504,-0.006816723,0.052836116
06-01-1982,-0.014611423,0.000178164,0.063754952
07-01-1982,-0.009319841,-0.007091899,0.03944149
08-01-1982,0.022219527,-0.009756047,0.030039732
09-01-1982,-0.01235564,0.014958251,0.020109526
10-01-1982,0.033352743,-0.020416595,-0.01997885
11-01-1982,0.035412919,0.018971142,-0.011017964
12-01-1982,-0.013973808,0.028944011,0.023746176
01-01-1983,0.024296345,-0.016601876,-0.043829583
02-01-1983,0.007092684,0.00979839,0.069403078
03-01-1983,-0.016275801,0.010286152,-0.004320027
04-01-1983,-0.030751745,0.011855881,-0.019877901
05-01-1983,0.040895512,-0.013415475,-0.085813935
06-01-1983,0.028343211,0.009416868,0.00226755
